AREA_NM,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MIN,AREA_PPLTN_MAX,MALE_PPLTN_RATE,FEMALE_PPLTN_RATE,PPLTN_RATE_0,PPLTN_RATE_10,PPLTN_RATE_20,PPLTN_RATE_30,PPLTN_RATE_40,PPLTN_RATE_50,PPLTN_RATE_60,PPLTN_RATE_70,RESNT_PPLTN_RATE,NON_RESNT_PPLTN_RATE,REPLACE_YN,PPLTN_TIME,ROAD_MSG,ROAD_TRAFFIC_IDX,ROAD_TRFFIC_TIME,ROAD_TRAFFIC_SPD,ACDNT_CNTRL_CNT,WEATHER_TIME,TEMP,SENSIBLE_TEMP,MAX_TEMP,MIN_TEMP,HUMIDITY,WIND_DIRCT,WIND_SPD,PRECIPITATION,PRECPT_TYPE,PCP_MSG,SUNRISE,SUNSET,UV_INDEX_LVL,UV_INDEX,UV_MSG,PM25_INDEX,PM25,PM10_INDEX,PM10,AIR_IDX,AIR_IDX_MVL,AIR_IDX_MAIN,AIR_MSG,NEWS_LIST
경복궁·서촌마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,5500,47.3,52.7,0.4,8.0,17.1,20.0,18.3,17.9,9.3,9.1,53.5,46.5,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:00,20,0,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,22,보통,37,보통,59.0,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
광화문·덕수궁,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,8000,8500,54.0,46.0,0.2,4.8,23.3,23.6,22.3,15.7,6.6,3.5,14.8,85.2,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:00,18,0,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,22,보통,37,보통,59.0,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
창덕궁·종묘,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,5500,53.3,46.7,0.2,6.4,28.6,19.2,16.3,15.6,8.0,5.8,30.1,69.9,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:00,17,0,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,22,보통,37,보통,59.0,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
강남 MICE 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,3500,53.7,46.3,0.1,8.2,29.4,26.1,18.4,10.4,5.8,1.6,4.4,95.6,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:00,16,0,2023-02-21 22:01,-0.9,0.2,4,-5,43,ESE,1.4,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,17,보통,34,보통,53.0,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
동대문 관광특구,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,20000,22000,47.7,52.3,0.1,3.5,24.6,26.6,19.6,14.2,8.4,3.0,19.7,80.3,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:00,18,0,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,22,보통,37,보통,59.0,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
명동 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,57.9,42.1,0.0,5.0,28.4,25.0,21.9,12.9,5.0,1.7,8.4,91.6,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:00,17,0,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,점검중,0,점검중,0,점검중,점검중,,원본 시스템 서비스 점검중입니다.,
이태원 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5500,6000,50.2,49.8,0.3,4.5,32.8,27.3,14.9,9.5,5.9,4.8,25.9,74.1,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:00,21,0,2023-02-21 22:01,-0.2,0.7,3,-6,41,ESE,1.6,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,20,보통,37,보통,52.0,PM-10,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
잠실 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,24000,26000,50.1,49.9,0.4,9.0,28.3,22.7,16.4,12.1,7.1,3.9,22.6,77.4,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:00,24,0,2023-02-21 22:01,0,2.4,4,-5,35,SE,0.7,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,16,보통,36,보통,59.0,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
종로·청계 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,55.1,44.9,0.1,5.3,30.6,19.5,16.8,15.6,8.6,3.6,15.6,84.4,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:00,16,0,2023-02-21 22:01,-1.9,-0.2,4,-6,46,SE,1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,보통,22,보통,37,보통,59.0,PM-2.5,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,42000,44000,46.7,53.3,0.1,10.9,45.5,19.8,10.9,7.0,3.6,2.3,17.1,82.9,N,2023-02-21 22:30,해당 장소로 이동·진입시 시간이 다소 소요될 수 있어요.,서행,2023-02-21 23:00,16,0,2023-02-21 22:01,-0.5,1.1,3,-6,44,SE,1.1,-,없음,비 또는 눈 소식이 없어요.,07:16,18:16,3,보통,2-3시간 햇볕에 노출 시 피부 화상을 입을 수 있어요.외출시 모자나 선글라스를 착용해주세요.자외선 차단제를 발라주세요.,좋음,11,좋음,23,보통,53.0,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
